,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
2301,2607406,Itacuruba,-8.82231,-38.6975,0,26,2447,87,America/Sao_Paulo
2316,2607505,Itaíba,-8.94569,-37.4173,0,26,2449,87,America/Sao_Paulo
2342,2607653,Itambé,-7.41403,-35.0963,0,26,2597,81,America/Sao_Paulo
2370,2607703,Itapetim,-7.37178,-37.1863,0,26,2453,87,America/Sao_Paulo
2384,2607752,Itapissuma,-7.76798,-34.8971,0,26,2633,81,America/Sao_Paulo
2404,2607802,Itaquitinga,-7.66373,-35.1002,0,26,2455,81,America/Sao_Paulo
2461,2607901,Jaboatão dos Guararapes,-8.11298,-35.015,0,26,2457,81,America/Sao_Paulo
2531,2607950,Jaqueira,-8.72618,-35.7942,0,26,548,81,America/Sao_Paulo
2552,2608008,Jataúba,-7.97668,-36.4943,0,26,2459,81,America/Sao_Paulo
2556,2608057,Jatobá,-9.17476,-38.2607,0,26,550,87,America/Sao_Paulo
2587,2608107,João Alfredo,-7.86565,-35.5787,0,26,2461,81,America/Sao_Paulo
2600,2608206,Joaquim Nabuco,-8.62281,-35.5288,0,26,2463,81,America/Sao_Paulo
2627,2608255,Jucati,-8.70195,-36.4871,0,26,2295,87,America/Sao_Paulo
2644,2608305,Jupi,-8.70904,-36.4126,0,26,2465,87,America/Sao_Paulo
2650,2608404,Jurema,-8.70714,-36.1347,0,26,2467,87,America/Sao_Paulo
2688,2608503,Lagoa de Itaenga,-7.93005,-35.2874,0,26,2469,81,America/Sao_Paulo
2693,2608453,Lagoa do Carro,-7.84383,-35.3108,0,26,2289,81,America/Sao_Paulo
2695,2608602,Lagoa do Ouro,-9.12567,-36.4584,0,26,2471,87,America/Sao_Paulo
2699,2608701,Lagoa dos Gatos,-8.6602,-35.904,0,26,2473,81,America/Sao_Paulo
2705,2608750,Lagoa Grande,-8.99452,-40.2767,0,26,552,87,America/Sao_Paulo
2728,2608800,Lajedo,-8.65791,-36.3293,0,26,2475,87,America/Sao_Paulo
2776,2608909,Limoeiro,-7.8726,-35.4402,0,26,2477,81,America/Sao_Paulo
2832,2609006,Macaparana,-7.55564,-35.4425,0,26,2479,81,America/Sao_Paulo
2844,2609105,Machados,-7.68827,-35.5114,0,26,2481,81,America/Sao_Paulo
2884,2609154,Manari,-8.9649,-37.6313,0,26,554,87,America/Sao_Paulo
2922,2609204,Maraial,-8.79062,-35.8266,0,26,2483,81,America/Sao_Paulo
3087,2609303,Mirandiba,-8.12113,-38.7388,0,26,2485,87,America/Sao_Paulo
3173,2614303,Moreilândia,-7.61931,-39.546,0,26,2585,87,America/Sao_Paulo
3175,2609402,Moreno,-8.10871,-35.0835,0,26,2487,81,America/Sao_Paulo
3250,2609501,Nazaré da Mata,-7.74149,-35.2193,0,26,2489,81,America/Sao_Paulo
3445,2609600,Olinda,-8.01017,-34.8545,0,26,2491,81,America/Sao_Paulo
3464,2609709,Orobó,-7.74553,-35.5956,0,26,2493,81,America/Sao_Paulo
3465,2609808,Orocó,-8.61026,-39.6026,0,26,2495,87,America/Sao_Paulo
3475,2609907,Ouricuri,-7.87918,-40.08,0,26,2497,87,America/Sao_Paulo
3527,2610004,Palmares,-8.68423,-35.589,0,26,2499,81,America/Sao_Paulo
3545,2610103,Palmeirina,-9.0109,-36.3242,0,26,2501,87,America/Sao_Paulo
3558,2610202,Panelas,-8.66121,-36.0125,0,26,2503,81,America/Sao_Paulo
3597,2610301,Paranatama,-8.91875,-36.6549,0,26,2505,87,America/Sao_Paulo
3623,2610400,Parnamirim,-8.08729,-39.5795,0,26,2507,87,America/Sao_Paulo
3636,2610509,Passira,-7.9971,-35.5813,0,26,2509,81,America/Sao_Paulo
3660,2610608,Paudalho,-7.90287,-35.1716,0,26,2511,81,America/Sao_Paulo
3668,2610707,Paulista,-7.93401,-34.8684,0,26,2513,81,America/Sao_Paulo
3686,2610806,Pedra,-8.49641,-36.94,0,26,2515,87,America/Sao_Paulo
3760,2610905,Pesqueira,-8.35797,-36.6978,0,26,2517,87,America/Sao_Paulo
3761,2611002,Petrolândia,-9.06863,-38.3027,0,26,2519,87,America/Sao_Paulo
3763,2611101,Petrolina,-9.38866,-40.5027,0,26,2521,87,America/Sao_Paulo
3886,2611200,Poção,-8.18726,-36.7111,0,26,2523,87,America/Sao_Paulo
3904,2611309,Pombos,-8.13982,-35.3967,0,26,2525,81,America/Sao_Paulo
4037,2611408,Primavera,-8.32999,-35.3544,0,26,2527,81,America/Sao_Paulo
4084,2611507,Quipapá,-8.81175,-36.0137,0,26,2529,81,America/Sao_Paulo
4090,2611533,Quixaba,-7.70734,-37.8446,0,26,2637,87,America/Sao_Paulo
4110,2611606,Recife,-8.04666,-34.8771,1,26,2531,81,America/Sao_Paulo
4148,2611705,Riacho das Almas,-8.13742,-35.8648,0,26,2533,81,America/Sao_Paulo
4165,2611804,Ribeirão,-8.50957,-35.3698,0,26,2535,81,America/Sao_Paulo
4220,2611903,Rio Formoso,-8.6592,-35.1532,0,26,2537,81,America/Sao_Paulo
4303,2612000,Sairé,-8.32864,-35.6967,0,26,2539,81,America/Sao_Paulo
4310,2612109,Salgadinho,-7.9269,-35.6503,0,26,2541,81,America/Sao_Paulo
4314,2612208,Salgueiro,-8.07373,-39.1247,0,26,2543,87,America/Sao_Paulo
4320,2612307,Saloá,-8.9723,-36.691,0,26,2545,87,America/Sao_Paulo
4343,2612406,Sanharó,-8.36097,-36.5696,0,26,2547,87,America/Sao_Paulo
4368,2612455,Santa Cruz,-8.24153,-40.3434,0,26,2297,87,America/Sao_Paulo
4370,2612471,Santa Cruz da Baixa Verde,-7.81339,-38.1476,0,26,2639,87,America/Sao_Paulo
4380,2612505,Santa Cruz do Capibaribe,-7.94802,-36.2061,0,26,2549,81,America/Sao_Paulo
4395,2612554,Santa Filomena,-8.16688,-40.6079,0,26,556,87,America/Sao_Paulo
4432,2612604,Santa Maria da Boa Vista,-8.79766,-39.8241,0,26,2551,87,America/Sao_Paulo
4438,2612703,Santa Maria do Cambucá,-7.83676,-35.8941,0,26,2553,81,America/Sao_Paulo
4487,2612802,Santa Terezinha,-7.37696,-37.4787,0,26,2555,87,America/Sao_Paulo
4584,2612901,São Benedito do Sul,-8.8166,-35.9453,0,26,2557,81,America/Sao_Paulo
4594,2613008,São Bento do Una,-8.52637,-36.4465,0,26,2559,81,America/Sao_Paulo
4603,2613107,São Caetano,-8.33763,-36.2869,0,26,2561,81,America/Sao_Paulo
4682,2613206,São João,-8.87576,-36.3653,0,26,2563,87,America/Sao_Paulo
4736,2613305,São Joaquim do Monte,-8.43196,-35.8035,0,26,2565,81,America/Sao_Paulo
4745,2613404,São José da Coroa Grande,-8.88937,-35.1515,0,26,2567,81,America/Sao_Paulo
4764,2613503,São José do Belmonte,-7.85723,-38.7577,0,26,2569,87,America/Sao_Paulo
4773,2613602,São José do Egito,-7.46945,-37.274,0,26,2571,87,America/Sao_Paulo
4804,2613701,São Lourenço da Mata,-8.00684,-35.0124,0,26,2573,81,America/Sao_Paulo
4924,2613800,São Vicente Ferrer,-7.58969,-35.4808,0,26,2575,81,America/Sao_Paulo
5013,2613909,Serra Talhada,-7.98178,-38.289,0,26,2577,87,America/Sao_Paulo
5025,2614006,Serrita,-7.94041,-39.2951,0,26,2579,87,America/Sao_Paulo
5029,2614105,Sertânia,-8.06847,-37.2684,0,26,2581,87,America/Sao_Paulo
5064,2614204,Sirinhaém,-8.58778,-35.1126,0,26,2583,81,America/Sao_Paulo
5083,2614402,Solidão,-7.59472,-37.6445,0,26,2587,87,America/Sao_Paulo
5103,2614501,Surubim,-7.84746,-35.7481,0,26,2589,81,America/Sao_Paulo
5112,2614600,Tabira,-7.58366,-37.5377,0,26,2591,87,America/Sao_Paulo
5118,2614709,Tacaimbó,-8.30867,-36.3,0,26,2593,81,America/Sao_Paulo
5119,2614808,Tacaratu,-9.09798,-38.1504,0,26,2595,87,America/Sao_Paulo
5133,2614857,Tamandaré,-8.75665,-35.1033,0,26,558,81,America/Sao_Paulo
5171,2615003,Taquaritinga do Norte,-7.89446,-36.0423,0,26,2599,81,America/Sao_Paulo
5212,2615102,Terezinha,-9.05621,-36.6272,0,26,2601,87,America/Sao_Paulo
5218,2615201,Terra Nova,-8.22244,-39.3825,0,26,2603,87,America/Sao_Paulo
5235,2615300,Timbaúba,-7.50484,-35.3119,0,26,2605,81,America/Sao_Paulo
5260,2615409,Toritama,-8.00955,-36.0637,0,26,2607,81,America/Sao_Paulo
5269,2615508,Tracunhaém,-7.80228,-35.2314,0,26,2609,81,America/Sao_Paulo
5298,2615607,Trindade,-7.759,-40.2647,0,26,2611,87,America/Sao_Paulo
5302,2615706,Triunfo,-7.83272,-38.0978,0,26,2613,87,America/Sao_Paulo
5322,2615805,Tupanatinga,-8.74798,-37.3445,0,26,2615,87,America/Sao_Paulo
5327,2615904,Tuparetama,-7.6003,-37.3165,0,26,2617,87,America/Sao_Paulo
5464,2616001,Venturosa,-8.57885,-36.8742,0,26,2619,87,America/Sao_Paulo
5473,2616100,Verdejante,-7.92235,-38.9701,0,26,2621,87,America/Sao_Paulo
5480,2616183,Vertente do Lério,-7.77084,-35.8491,0,26,2291,81,America/Sao_Paulo
5481,2616209,Vertentes,-7.90158,-35.9681,0,26,2623,81,America/Sao_Paulo
5489,2616308,Vicência,-7.65655,-35.3139,0,26,2625,81,America/Sao_Paulo
5537,2616407,Vitória de Santo Antão,-8.12819,-35.2976,0,26,2627,81,America/Sao_Paulo
5563,2616506,Xexéu,-8.8046,-35.6212,0,26,2293,81,America/Sao_Paulo
