,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
1888,1503077,Garrafão do Norte,-1.92986,-47.0505,0,15,585,91,America/Sao_Paulo
1926,1503093,Goianésia do Pará,-3.84338,-49.0974,0,15,627,94,America/Sao_Paulo
2049,1503101,Gurupá,-1.41412,-51.6338,0,15,461,91,America/Sao_Paulo
2146,1503200,Igarapé-Açu,-1.12539,-47.626,0,15,463,91,America/Sao_Paulo
2147,1503309,Igarapé-Miri,-1.97533,-48.9575,0,15,465,91,America/Sao_Paulo
2207,1503408,Inhangapi,-1.4349,-47.9114,0,15,467,91,America/Sao_Paulo
2240,1503457,Ipixuna do Pará,-2.55992,-47.5059,0,15,621,91,America/Sao_Paulo
2277,1503507,Irituia,-1.76984,-47.446,0,15,469,91,America/Sao_Paulo
2324,1503606,Itaituba,-4.2667,-55.9926,0,15,471,93,America/Sao_Paulo
2446,1503705,Itupiranga,-5.13272,-49.3358,0,15,473,94,America/Sao_Paulo
2473,1503754,Jacareacanga,-6.21469,-57.7544,0,15,631,93,America/Sao_Paulo
2485,1503804,Jacundá,-4.44617,-49.1153,0,15,475,94,America/Sao_Paulo
2657,1503903,Juruti,-2.16347,-56.0889,0,15,477,93,America/Sao_Paulo
2778,1504000,Limoeiro do Ajuru,-1.8985,-49.3903,0,15,479,91,America/Sao_Paulo
2853,1504059,Mãe do Rio,-2.05683,-47.5601,0,15,587,91,America/Sao_Paulo
2856,1504109,Magalhães Barata,-0.803391,-47.6014,0,15,481,91,America/Sao_Paulo
2911,1504208,Marabá,-5.38075,-49.1327,0,15,483,94,America/Sao_Paulo
2917,1504307,Maracanã,-0.778899,-47.452,0,15,485,91,America/Sao_Paulo
2926,1504406,Marapanim,-0.714702,-47.7034,0,15,487,91,America/Sao_Paulo
2971,1504422,Marituba,-1.36002,-48.3421,0,15,54,91,America/Sao_Paulo
3038,1504455,Medicilândia,-3.44637,-52.8875,0,15,589,93,America/Sao_Paulo
3041,1504505,Melgaço,-1.8032,-50.7149,0,15,489,91,America/Sao_Paulo
3103,1504604,Mocajuba,-2.5831,-49.5042,0,15,491,91,America/Sao_Paulo
3114,1504703,Moju,-1.88993,-48.7668,0,15,493,91,America/Sao_Paulo
3115,1504752,Mojuí dos Campos,-2.6822,-54.6425,0,15,1190,93,America/Sao_Paulo
3132,1504802,Monte Alegre,-1.99768,-54.0724,0,15,495,93,America/Sao_Paulo
3201,1504901,Muaná,-1.53936,-49.2224,0,15,497,91,America/Sao_Paulo
